Date,Open,High,Low,Close,Adj Close,Volume
2019-08-21,59.657501,59.950001,59.371498,59.562500,59.562500,14814000
2019-08-22,59.703499,59.900600,58.929001,59.476501,59.476501,18950000
2019-08-23,59.099499,59.703999,57.387501,57.564499,57.564499,33740000
2019-08-26,57.862999,58.473499,57.647999,58.444500,58.444500,24522000
2019-08-27,59.026501,59.119999,58.072498,58.391998,58.391998,21544000
2019-08-28,58.085499,58.820999,57.865002,58.550999,58.550999,16040000
2019-08-29,59.056000,59.803001,59.056000,59.642502,59.642502,21768000
2019-08-30,59.924999,59.924999,59.190151,59.404999,59.404999,22596000
2019-09-03,58.851501,59.344501,58.160000,58.419498,58.419498,29598000
2019-09-04,58.835499,59.174000,58.549999,59.070499,59.070499,21378000
2019-09-05,59.576500,60.652000,59.576500,60.569000,60.569000,28162000
2019-09-06,60.406502,60.600750,60.126099,60.246498,60.246498,21442000
2019-09-09,60.200001,61.000000,59.631001,60.220501,60.220501,29438000
2019-09-10,59.757500,60.500000,59.729000,60.299999,60.299999,25202000
2019-09-11,60.170502,61.130001,60.110001,61.008499,61.008499,26140000
2019-09-12,61.215000,62.092999,61.151001,61.712502,61.712502,34518000
2019-09-13,61.567501,62.043999,61.350498,61.978001,61.978001,26028000
2019-09-16,61.476002,61.978001,61.280499,61.564999,61.564999,21066000
2019-09-17,61.520000,61.750000,61.184502,61.457500,61.457500,19102000
2019-09-18,61.375500,61.780499,60.826500,61.620499,61.620499,22702000
2019-09-19,61.603001,62.222000,61.601002,61.935501,61.935501,19920000
2019-09-20,61.655998,62.166000,61.153999,61.496498,61.496498,45400000
2019-09-23,61.299999,61.954498,61.208500,61.701500,61.701500,21248000
2019-09-24,62.000000,62.337002,60.534000,60.938000,60.938000,31664000
2019-09-25,60.791000,62.415001,60.504501,62.326000,62.326000,29060000
2019-09-26,62.098000,62.250000,61.613400,62.069500,62.069500,30760000
2019-09-27,62.150501,62.201000,60.722500,61.254501,61.254501,27078000
2019-09-30,61.048500,61.299999,60.615002,60.950001,60.950001,28082000
2019-10-01,60.950001,61.561501,60.179001,60.255001,60.255001,25470000
2019-10-02,59.848999,59.848999,58.564499,58.831501,58.831501,32302000
2019-10-03,59.000000,59.452999,58.121498,59.391499,59.391499,32424000
2019-10-04,59.594501,60.571999,59.458500,60.450001,60.450001,23248000
2019-10-07,60.220001,60.910198,60.187500,60.383999,60.383999,16858000
2019-10-08,59.879501,60.304001,59.450500,59.456501,59.456501,20786000
2019-10-09,59.967499,60.417500,59.881500,60.115501,60.115501,17354000
2019-10-10,59.929001,60.750000,59.867001,60.433498,60.433498,16932000
2019-10-11,61.110500,61.419498,60.687000,60.772499,60.772499,25454000
2019-10-14,60.617001,61.316502,60.588001,60.856998,60.856998,17350000
2019-10-15,61.020000,62.366501,61.020000,62.150501,62.150501,27634000
2019-10-16,62.058498,62.737000,61.922501,62.181999,62.181999,21892000
2019-10-17,62.546501,63.166248,62.497002,62.653500,62.653500,19048000
2019-10-18,62.673000,62.944500,62.054001,62.274502,62.274502,27056000
2019-10-21,62.612999,62.731449,62.029999,62.307499,62.307499,20544000
2019-10-22,62.392502,62.529999,62.069000,62.139999,62.139999,20476000
2019-10-23,62.118000,62.994499,62.118000,62.956501,62.956501,18230000
2019-10-24,63.044998,63.200001,62.685749,63.049500,63.049500,20562000
2019-10-25,62.551498,63.480000,62.500500,63.256500,63.256500,24262000
2019-10-28,63.772499,64.965500,63.626999,64.500000,64.500000,52264000
2019-10-29,63.811501,64.079498,62.860600,63.131001,63.131001,37728000
2019-10-30,62.648499,63.467999,62.599998,63.064499,63.064499,28178000
2019-10-31,63.063999,63.383499,62.542149,63.005501,63.005501,29114000
2019-11-01,63.250000,63.730999,63.025002,63.687000,63.687000,33402000
2019-11-04,63.822498,64.706497,63.817749,64.568497,64.568497,30020000
2019-11-05,64.644501,64.946503,64.561447,64.601501,64.601501,25654000
2019-11-06,64.473000,64.686501,64.125000,64.589996,64.589996,23060000
2019-11-07,64.713997,66.186996,64.712250,65.443001,65.443001,40600000
2019-11-08,65.264000,65.900002,65.218246,65.568497,65.568497,25028000
2019-11-11,65.158997,65.321251,64.870499,64.959503,64.959503,20238000
2019-11-12,65.000000,65.500000,64.788498,64.940002,64.940002,21718000
2019-11-13,64.703499,65.214996,64.675499,64.900002,64.900002,16534000
2019-11-14,64.875000,65.849998,64.782501,65.572998,65.572998,23870000
2019-11-15,65.946999,66.744003,65.713997,66.743500,66.743500,35652000
2019-11-18,66.611000,66.776451,65.875000,66.035004,66.035004,29748000
2019-11-19,66.385002,66.385002,65.639999,65.773003,65.773003,25384000
2019-11-20,65.586998,65.750000,64.557503,65.152496,65.152496,26172000
2019-11-21,65.073997,65.629501,64.650002,65.067497,65.067497,19910000
